title,summary,category
Guillocheau,Guillocheau is a settlement in Guadeloupe on the island of GrandeTerre To its north are Lemercier Le Moule and Conchou Fonds dOr and Boisvin are to the south ,-1
Himmatsinhji M. K.,Himmatsinhji M K 9 October 1928  22 February 2008 was a noted ornithologist politician and scion of the erstwhile Jadeja ruling family of Kutch who was member of 3rd Lok Sabha from KutchHimmatsinhji also served as trustee of Ashapura Mata temple at Mata no Madh and Narayan Sarovar Temples ,-1
Schinia tobia,Schinia tobia is a moth of the family Noctuidae It is in North America including Arizona California and New Mexico The wingspan is about 23 mm The larvae feed on Dicoria canescens ,-1
Bematistes persanguinea,Bematistes persanguinea is a butterfly in the family Nymphalidae It is found in southwestern Uganda Rwanda Burundi and the Democratic Republic of the Congo Mongala Uele Lualaba ,-1
Pork. The Other White Meat,Pork The Other White Meat was an advertising slogan developed by advertising agency Bozell Jacobs Kenyon  Eckhardt in 1987 for the National Pork Board The campaign was paid for using a checkoff fee tax collected from the initial sale of all pigs and pork products including imports Medical researchers and the United States Department of Agriculture classify it as red meat ,-1
Thomas Schippers,Thomas Schippers 9 March 1930  16 December 1977 was an American conductor He was highly regarded for his work in opera ,-1
Synergy (Extol album),Synergy is the third studio album by Norwegian Christian extreme metal band Extol It was released in 2003 on Century Media but was licensed to Solid State Records With this album the band shifted more towards a progressive deaththrash sound The Norwegian singersongwriter Maria Solheim performs guest vocals on Paradigms The session guitarist Tore Moren plays guitar solo on Nihilism 2002 and the first solo on Psychopath Samuel Durling of the death industrial band Mental Destruction performs distorted vocals on Emancipation The album was recorded at Top Room Studios It was produced by Brge Finstad and was mixed at Fagerborg Studios and Top Room Studios Morten Lund mastered the album at Masterhuset AS The album cover was painted by Hugh Syme who has done work for such groups as Iron Maiden Megadeth Rush and Fates Warning The band says that the cover picture illustrates the synergy effect of elements working together monk and Death and thus gaining strength beyond what the effect would be if all the elements would be working separately ,-1
Carlos Mastronardi,Carlos Mastronardi 1901  June 5 1976 was an Argentine journalist poet and translator His works included Luz de provincia Tierra amanecida 1926 Conocimiento de la noche 1937 and Tratado de la pena His nonfiction Valry o la infinitud del mtodo Valry or the infinitude of method won the Buenos Aires Municipal Prize for Literature 1955 Other important works of nonfiction included Formas de la realidad nacional Forms of the National Reality 1961 and Memorias de un Provinciano Memoirs of a Man from the Provinces 1967 Some of his journalism was published posthumously as Cuadernos de vivir y pensar Notebooks of Living and Thinking 1984As a translator Mastronardi was mainly known for translating the French Symbolist poets into Spanish As a poet although identified personally with the avantgarde of his time he wrote largely in traditional forms rather than free verse and rejected what he viewed as his contemporaries excessive use of metaphorBorn in Gualeguay Entre Ros Province Mastronardi came to Buenos Aires at the age of 19 There he became a member of the Martn Fierro group also known as the Florida group and an intimate of Jorge Luis Borges although they disagreed strongly about questions about aesthetics and poetry Mastronardi figures as a minor character in Borgess short story Tln Uqbar Orbis TertiusMastronardi led a notoriously nocturnal existence Writing of Mastronardi in 1986 in the newspaper El Pas Madrid Borges said of Mastronardi that Like Auguste Dupin  the detective character created by Edgar Allan Poe  at night he went about the streets of Buenos Aires looking for that intellectual stimulus that only can be given by nighttime in a great cityAfter a long period in which his work fell into obscurity Mastronardis works are as of 2003 being republished by Argentinas Universidad Nacional del Litoral ,-1
Oblin-Grądki,OblinGrdki blin rntki is a village in the administrative district of Gmina Maciejowice within Garwolin County Masovian Voivodeship in eastcentral Poland  References  ,-1
Psycho (Muse song),Psycho is a song by the English rock band Muse from their seventh studio album Drones released on 12 March 2015 as a promotional single and the first from the album It was later featured as the Bside to the official lead single later that month Dead Inside ,-1
"Hiland Park, Florida",Hiland Park is a former censusdesignated place CDP in Bay County Florida United States The population was 999 at the 2000 census Most of the area is now part of the city of Lynn Haven It is part of the Panama CityLynn HavenPanama City Beach Metropolitan Statistical Area ,-1
Salino,Salino salin is a village in the administrative district of Gmina Gniewino within Wejherowo County Pomeranian Voivodeship in northern Poland It lies approximately 7 kilometres 4 mi southwest of Gniewino 23 km 14 mi northwest of Wejherowo and 58 km 36 mi northwest of the regional capital Gdask For details of the history of the region see History of Pomerania  References  ,-1
Ai Haruna,Ai Haruna   Haruna Ai born 21 July 1972 is a Japanese transgender TV personality and singerIn October 2009 Haruna won the Miss International Queen 2009 transgender beauty pageant held in Pattaya Thailand becoming the first Japanese contestant to win the title ,-1
William Leighton Carss,William Leighton Carss February 15 1865  May 31 1931 was a US Representative from Minnesota born in Pella Marion County Iowa and subsequently moved with his parents to Des Moines Iowa in 1867 There he attended the public schools studied civil and mechanical engineering and followed that profession for a number of years He moved to St Louis County Minnesota in 1893 and settled in Proctor where he found work as a locomotive engineer and became a member of the Brotherhood of Locomotive Engineers Carss was elected as a FarmerLabor candidate to the 66th congress March 4 1919  March 3 1921 from Minnesotas 8th congressional district Carss was fond of British literature reciting selections from Shakespeare Carlyle and Burns by heart He sponsored prolabor legislation during his first term supporting old age pensions anticipating the Social Security system womens rights and to the dismay of some of his supporters the Prohibition AmendmentCarss was an unsuccessful candidate for reelection as a Democrat in 1920 to the 67th congress and for election in 1922 to the 68th congress He was elected on the FarmerLabor ticket to the 69th and 70th congresses March 4 1925  March 3 1929 but was defeated for reelection in 1928 to the 71st congress Carss moved to Duluth in 1929 where he resumed his position as a locomotive engineer at Proctor He was unsuccessful in his 1930 bid for election to the 72nd congress He died in Duluth on May 31 1931 and was interred in Oneota Cemetery ,-1
"Assembly of the City and Borough of Juneau, Alaska",The Assembly of the City and Borough of Juneau Alaska is the governing body and legislative branch of the City and Borough of Juneau the local government of Juneau Alaska United States As Juneau is a unified municipality its corporate limits encompass the historic town of Juneau or presentday downtown suburbs both urban and rural as well as thousands of square miles of wilderness The Assembly is headed by the mayor of Juneau The assembly consists of nine members which includes the mayor elected in rotating tranches to threeyear terms Elections are held on the first Tuesday of every October ,-1
Homefront (Star Trek: Deep Space Nine),Homefront is the 83rd episode of the television series Star Trek Deep Space Nine the 11th episode of the fourth season It is the first part of a twopart episode continued by the following episode Paradise Lost The episode was directed by David Livingston and was written by Ira Steven Behr and Robert Hewitt WolfeSet in the 24th century the series follows the adventures of the crew of the fictional space station Deep Space Nine managed by the United Federation of Planets which lies adjacent to a wormhole connecting the Alpha and Gamma Quadrants of the galaxy The Gamma Quadrant is home to the Dominion a hostile empire ruled by the shapeshifting Changelings In this episode Deep Space Nines captain Benjamin Sisko is brought to Earth to assist Admiral Leyton with planetary security after a terrorist attack on the planet is apparently perpetrated by Changelings while there he visits his father who runs a restaurant in New Orleans ,-1
Efthymis Christopoulos,Efthymis Christopoulos Greek   born 20 September 2000 is a Greek professional footballer who plays as a forward  References  ,-1
Oleeae,Oleeae is a tribe of flowering plants in the olive family Oleaceae ,-1
Veterans of Foreign Wars Walter R. Mickens Post 6021 and William Weech American Legion Post 168,The Veterans of Foreign Wars Walter R Mickens Post 6021 and William Weech American Legion Post 168 is an historic building in Key West Florida Ground was broken for it in 1951 It was primarily dedicated to serve black military personnel deployed in the Florida Keys Some of the entertainers who performed there were Otis Redding and Etta James On May 30 2012 it was added to the National Register of Historic Places  References  ,-1
Harold Cagle,Harold D Cagle August 3 1913  November 28 1977 was an American athlete who competed mainly in the 400 metresHe competed for the United States in the 1936 Summer Olympics held in Berlin Germany in the 4 x 400 metre relay where he won the silver medal with his teammates Robert Young Edward OBrien and Alfred Fitch ,-1
2007 Gumball 3000 collision,The Gumball 3000 Rally of 2007 ended early as the result of a traffic accident on May 2 2007 in which two people were killed The accident involved two vehicles the first being a TechArt Porsche 997 Turbo that was participating in the Gumball 3000 and the second being a Volkswagen Golf The latter was not involved in the Gumball 3000 event Vladimir epunjoski the driver of the Volkswagen died at the scene The passenger Margit epunjoska was rushed to hospital but died two days later as a result of the injuries sustained in the crash The driver of the Porsche Nicholas Morley and codriver Matthew McConville were not seriously injured ,-1
List of surgical procedures,Many surgical procedure names can be broken into parts to indicate the meaning For example in gastrectomy ectomy is a suffix meaning the removal of a part of the body Gastro means stomach Thus gastrectomy refers to the surgical removal of the stomach or sections thereof Otomy means cutting into a part of the body a gastrotomy would be cutting into but not necessarily removing the stomach And also pharyngo means pharynx laryngo means larynx esophag means esophagus Thus pharyngolaryngoesophagectomy refers to the surgical removal of the three The field of minimally invasive surgery has spawned another set of words such as arthroscopic or laparoscopic surgery These take the same form as above an arthroscope is a device which allows the inside of the joint to be seen ,-1
"Bəydili, Yevlakh",Bydili also Beydilli is a village in the Yevlakh Rayon of Azerbaijan The village forms part of the municipality of Glv ,-1
"Springdale, Queensland",Springdale is a rural locality in the Southern Downs Region Queensland Australia In the 2016 census Springdale had a population of 25 people ,-1
Bordeaux Segalen University,Bordeaux Segalen University French Universit Bordeaux Segalen originally called University of Victor Segalen Bordeaux II was one of four universities in Bordeaux together with Bordeaux 1 Michel de Montaigne Bordeaux 3 and Montesquieu Bordeaux IV and five in Aquitaine In 2014 it merged with Bordeaux 1 and Bordeaux 4 to form University of BordeauxBordeaux Segalen was specialized in Life and Health Sciences and Human and Social Sciences It consisted of three UFRs of medicine one UFR of pharmacy one of odontology one of human and social sciences psychology sociology ethnology educational sciences cognitive sciences one of mathematics applied to human and life sciences one of life sciences human biology biology of extreme environments neurosciences one of oenology one of sports sciences a higher school of biotechnology ESTBB and three institutes one of public health ISPED one for hydrotherapy in Dax and one for cognitics cognitive engineering  IdC now ENSC Bordeaux Segalen contained the UFR dOenologie a reputed oenological institute founded in 1880 by Ulysse Gayon the same year of foundation as the similar faculty of University of California at DavisSince 2003 a team led by Dominique Martin of the Bordeaux University Hospital has been rehearsing for the first human operation in zero gravity using ZeroG aircraft The operation is part of a project to develop surgical robots in space that are guided via satellite by Earthbased doctors The project is developed with backing from the European Space Agency ESA ,-1
David Straitjacket,David Straitjacket born July 1977 is a British escape artist most notable for his television appearances and world record attempts ,-1
Cycling at the 1998 Asian Games – Men's road race,The mens road race competition at the 1998 Asian Games was held on 19 December ,-1
Swimming at the 2004 Summer Paralympics – Women's 100 metre freestyle S5,The Womens 100 metre freestyle S5 swimming event at the 2004 Summer Paralympics was competed on 19 September It was won by Teresa Perales representing Spain ,-1
Draba exunguiculata,Draba exunguiculata is a species of flowering plant in the family Brassicaceae known by the common names clawless draba and Grays Peak draba It is endemic to Colorado in the United StatesThis plant is a perennial herb forming a tight clump on the ground It has a branching caudex and stems just a few centimeters long It has linear or lanceshaped leaves up to 25 centimeters long The undersides and sometimes the top sides of the leaf blades have tiny hairs The inflorescence is a raceme of several flowers with yellow petals each up to 3 millimeters long The plant can be distinguished from Draba grayana which grows in the same area by its nonclawed petals and the arrangement of hairs on its stemsThis plant is a Rocky Mountains endemic occurring mostly around Grays Peak and Torreys Peak It grows in subalpine habitat and alpine tundra at elevations between 11700 and 14000 feet It grows on fellfields and other rocky soils It sometimes grows under overhanging rock and between boulders that help protect it from the harsh climate It is usually distributed in small patches of individuals Other plants in the habitat include similar cushion plants Species associated with the draba include Deschampsia caespitosa Acomastylis rossii Carex rupestris Lidia obtusiloba Trifolium nanum and Lidia bifloraThe main threat to the species is recreational activity such as hiking and skiing in the habitat ,-1
Safavid Iran,Safavid Iran or Safavid Persia  also referred to as the Safavid Empire was one of the largest and longstanding Iranian empires after the 7thcentury Muslim conquest of Persia which was ruled from 1501 to 1736 by the Safavid dynasty It is often considered the beginning of modern Iranian history as well as one of the gunpowder empires The Safavid Shh Isml I established the Twelver denomination of Sha Islam as the official religion of the empire marking one of the most important turning points in the history of IslamAn Iranian dynasty rooted in the Sufi Safavid order founded by Kurdish sheikhs it heavily intermarried with Turkoman Georgian Circassian and Pontic Greek dignitaries and was Turkicspeaking and Turkified From their base in Ardabil the Safavids established control over parts of Greater Iran and reasserted the Iranian identity of the region thus becoming the first native dynasty since the Buyids to establish a national state officially known as IranThe Safavids ruled from 1501 to 1722 experiencing a brief restoration from 1729 to 1736 and 1750 to 1773 and at their height they controlled all of what is now Iran Republic of Azerbaijan Bahrain Armenia eastern Georgia parts of the North Caucasus including Russia Iraq Kuwait and Afghanistan as well as parts of Turkey Syria Pakistan Turkmenistan and Uzbekistan Despite their demise in 1736 the legacy that they left behind was the revival of Iran as an economic stronghold between East and West the establishment of an efficient state and bureaucracy based upon checks and balances their architectural innovations and patronage for fine arts The Safavids have also left their mark down to the present era by establishing Twelver Shsm as the state religion of Iran as well as spreading Sha Islam in major parts of the Middle East Central Asia Caucasus Anatolia the Persian Gulf and Mesopotamia ,-1
Micturition syncope,Micturition syncope or postmicturition syncope is the name given to the human phenomenon of fainting shortly after or during urination The underlying cause is not fully understood but it may be a result of vasovagal response postural hypotension or a combination thereof People often become pale lightheaded nauseated sweaty and weak before they lose consciousness Sometimes defecating coughing or severe vomiting may cause fainting in a similar way ,-1
Scientific notation,Scientific notation is a way of expressing numbers that are too large or too small to be conveniently written in decimal form since to do so would require writing out an inconveniently long string of digits It may be referred to as scientific form or standard index form or standard form in the United Kingdom This base ten notation is commonly used by scientists mathematicians and engineers in part because it can simplify certain arithmetic operations On scientific calculators it is usually known as SCI display mode In scientific notation nonzero numbers are written in the form or m times ten raised to the power of n where n is an integer and the coefficient m is a nonzero real number usually between 1 and 10 in absolute value and nearly always written as a terminating decimal The integer n is called the exponent and the real number m is called the significand or mantissa The term mantissa can be ambiguous where logarithms are involved because it is also the traditional name of the fractional part of the common logarithm If the number is negative then a minus sign precedes m as in ordinary decimal notation In normalized notation the exponent is chosen so that the absolute value modulus of the significand m is at least 1 but less than 10 Decimal floating point is a computer arithmetic system closely related to scientific notation ,-1
Norah Story,Norah Story 1902  March 5 1978 was a Canadian archivist who won the Governor Generals Award for Englishlanguage nonfiction in 1967 for her Oxford Companion to Canadian History and Literature ,-1
Carsten Thomassen (journalist),Carsten Thomassen 15 May 1969  14 January 2008 was a Norwegian journalist political commentator and war correspondent for the Norwegian daily newspaper Dagbladet He had earlier covered the 2004 Indian Ocean earthquake from Thailand and Indonesia He was killed in the 2008 Kabul Serena Hotel attack in Kabul Afghanistan ,-1
Dashzevegiin Ochirsükh,Dashzevegiin Ochirskh born 7 December 1977 is a Mongolian crosscountry skier He competed in the mens 10 kilometre classical event at the 1998 Winter Olympics ,-1
Order of Zayed,The Order of Zayed Arabic   is the United Arab Emirates highest civil decoration named after the first president of the UAE Zayed bin Sultan Al Nahyan ,-1
9th Cinema Express Awards,On 9 March 1989 Cinema Express magazine editor V Ramamurthy announced the best of South Indian films for the year of 1988 selected by the readers of the magazine G Lakshma Reddy sales manager of Dyanora Television cosponsor also announced the Dyanora Gold cine awards for excellence in film industryOnly four category of awards are selected for the languages Malayalam Kannada and Telugu ,-1
Lightwright,Lightwright is a proprietary software that manages theatrical lighting data and paperwork Developed and maintained by John McKernon the Lightwright software combines a relational database with a graphical user interface in support of user generated instrument schedules channel hookups and other lighting paperwork from a single spreadsheetdatabase It also provides errorchecking and lightingspecific data entry shortcuts In the US professional theater Lightwright is the industry standard lighting database program The software is widely used in the production of Broadway and other live entertainment shows and across a number of educational and arts institutions ,-1
Aporophyla lutulenta,Aporophyla lutulenta also known as the deep brown dart is a moth of the family Noctuoidea The species was first described by Michael Denis and Ignaz Schiffermller in 1775 It is found in Europe primarily in central and southern Europe near the Black Sea and the Caucasus ,-1
A Postcard from Hell,A Postcard from Hell is the second fulllength studio album by Israeli punk band Kill the Drive It was released on May 12 2009 in Japan through Radtone Music and on September 10 2009 in Israel in a special release show that took place at the OzenBar in Tel Aviv The album was produced by Useless ID frontman Yotam Ben Horin engineered by the bands singerbassist Eyal Reiner and mixed  mastered by Daniel Balistocky at Revolution 9 Recording Studios in Los Angeles It is the bands only album before becoming a fourpiece in 2010 ,-1
Acropoma boholensis,Acropoma boholensis is a species of rayfinned fish a lanternbelly from the family Acropomatidae which is found in the western Pacific Ocean around the Philippines ,-1
Tahuna Normal Intermediate School,Tahuna Normal Intermediate School is a school for Year 7 Form One and Year 8 Form Two students based in Saint Kilda Dunedin New Zealand It is located near Saint Kilda Beach ,-1
Yevgeny Golovanov,Yevgeny Golovanov born 6 February 1972 is a Belarusian cyclist He competed in the mens individual road race at the 1996 Summer Olympics ,-1
1941 in sports,Note  many sporting events did not take place because of World War II1941 in sports describes the years events in world sport ,-1
Billboard Top R&B Records of 1953,Billboard Top RB Records of 1953 is made up of two yearend charts compiled by Billboard magazine ranking the years top rhythm and blues records based on record sales and juke box plays ,-1
Environment International,Environment International is a peerreviewed scientific journal covering environmental science and health It was established in 1978 and is published eight times per year by Elsevier The coeditorsinchief are Adrian Covaci University of Antwerp Mark Nieuwenhuijsen Zhen Jason He and Yongguan Zhu According to the Journal Citation Reports the journal has a 2020 impact factor of 9621 ,-1
Selling the OC,Selling the OC is an American reality television series created for Netflix by Adam DiVello As a spinoff series of Selling Sunset it revolves around the Oppenheim Group a highend real estate brokerage firm in the Orange County California area with offices in West Hollywood and Newport Beach and follows a group of agents as they navigate their personal and professional lives The first season premiered with eight episodes on August 24 2022 The show was renewed for a second and third season on January 18 2023 The second season premiered on September 8 2023 ,-1
1974 European Athletics Championships – Women's 100 metres,The womens 100 metres at the 1974 European Athletics Championships was held in Rome Italy at Stadio Olimpico on 2 and 3 September 1974 ,-1
Hastula continua,Hastula continua is a species of sea snail a marine gastropod mollusc in the family Terebridae the auger snails ,-1
Cosmetic Executive Women,Cosmetic Executive Women CEW is a trade organization for the cosmetics fragrance and personal care industry ,-1
Eighth Amendment of the Constitution of Ireland,The Eighth Amendment of the Constitution Act 1983 was an amendment to the Constitution of Ireland which inserted a subsection recognising the equal right to life of the pregnant woman and the unborn Abortion had been subject to criminal penalty in Ireland since at least 1861 the amendment ensured that legislation or judicial interpretation would be restricted to allowing abortion in circumstances where the life of a pregnant woman was at risk It was approved by referendum on 7 September 1983 and signed into law on 7 October 1983 In 2018 it was repealed by referendum The amendment was adopted during the Fine GaelLabour Party coalition government led by Garret FitzGerald but was drafted and first suggested by the previous Fianna Fil government of Charles Haughey The amendment was supported by Fianna Fil and some of Fine Gael and was opposed by the political left Most of those opposed to the amendment insisted that they were not in favour of legalising abortion The Catholic hierarchy and many lay Catholics supported the amendment but it was opposed by the authorities of other mainstream churches After a bitter referendum campaign the amendment was passed by 67 voting in favour to 33 voting against In 2018 a referendum was passed known as the Thirtysixth Amendment of the Constitution of Ireland which repealed the Eighth Amendment ,-1
Dennis Dowidat,Dennis Dowidat born 10 January 1990 is a German footballer who plays as a midfielder for TSV Meerbusch in the Oberliga Niederrhein ,-1
Bridge Street Town Centre,Bridge Street Town Centre is a lifestyle center in Huntsville Alabama developed by OS Holdings and designed by TSArchitects both of Los Angeles The center is located in Cummings Research Park at the intersection of Old Madison Pike Interstate 565 and Research Park Boulevard Alabama State Route 255 Bridge Street includes 550000 sq ft 51000 m2 of retail space featuring a Cinemark movie theater and 80 shops and restaurants as well as a one sixstory 140000 sq ft 13000 m2 Class A office space building and an elevenstory 232 room Westin Hotel and a 150room Element by Westin hotel The center used to feature a 10acre 40000 m2 lake but need for a department store anchor pad and leakage problems caused most of it to be filled in A 5 acre lake remains The retail portion of the mixeduse project opened on November 1 2007 The Westin became the first in Alabama when it opened in Spring of 2008 Bridge Street offers a wide variety of shops and restaurants Among them are Altard State Anthropologie Apple Barnes and Noble Bath and Body Works Bed Bath and Beyond Belk Connors Steak  Seafood DSW Shoes Francescas HM Mountain High Outfitters PF Changs Sephora Victorias Secret and other boutique shops as well as a Cinemark movie theater ,-1
Maria Ludovica Costa,Maria Ludovica Costa born 24 December 2000 is an Italian rower for Rowing Club Genovese She won a silver medal at the 2019 World Rowing ChampionshipsIn the same year she is U23 World Rowing Champion in Sarasota in the same boat lightweight coxless pair with her boat mate Sofia Tanghetti ,-1
Ralph Mollatt,Ralph Mollatt 28 March 1926  5 August 1983 was a Norwegian businessperson He was born in Oslo and studied in Syracuse New York and Grenoble He worked in the family company M Peterson  Sn and was CEO from 1963 to 1980 His younger brother Erik was later CEO from 1983 to 2002For his work Ralph Mollatt was decorated with the Royal Norwegian Order of St Olav  References  ,-1
Gogolevsky Boulevard,Gogolevsky Boulevard Russian   is a boulevard near the Arbat District Moscow Russia named after the writer Nikolai Gogol It was named Prechistensky Boulevard Russian   until 1924 after the nearby street Prechistenka The boulevard begins next to the Cathedral of Christ the Saviour and is the beginning of the Boulevard Ring The boulevard runs northeast and ends at the Arbat Square from where it continues as Nikitsky Boulevard ,-1
Vernon Fredericks,Vernon John Fredericks born 7 July 1990 is a former New Zealand rugby union player who played for Tasman in the Bunnings NPC competition His position of choice was flanker ,-1
Caldwell Peak,Caldwell Peak 7729S 16754E is a peak 2 nautical miles 4 km north of Mount Terra Nova on Ross Island The feature rises to about 1300 metres 4300 ft 1 nautical mile 2 km south of Oamaru Peak At the suggestion of PR Kyle it was named by the Advisory Committee on Antarctic Names 2000 after David A Caldwell geologist New Mexico Institute of Mining and Technology who worked two field seasons on Mount Erebus first one 198687 completed MS thesis on lava flows at the Mount Erebus summit ,-1
Cherryland Center,Cherryland Center formerly known as Cherryland Mall is a shopping center located in Garfield Township near Traverse City in the US state of Michigan Opened in 1976 the site served as the only enclosed shopping mall in Northwest Michigan until 1992 when the nearby Grand Traverse Mall opened In 1999 the property was redeveloped as an outdoor shopping center A number of anchor tenants closing in the 2010s led to the property being deemed a dead mall despite retaining a high occupancy rate ,-1
Bob Cooper (musician),Bob Cooper December 6 1925  August 5 1993 was a West Coast jazz musician known primarily for playing tenor saxophone but also for being one of the first to play jazz solos on oboe ,-1
Crashdïet discography,The discography of Crashdet a Swedish rock band consists of five studio albums eight singles one EP and two DVD This list does not include solo material or sideprojects performed by the members The band has released six albums 2005s Rest in Sleaze 2007s The Unattractive Revolution 2010s Generation Wild 2013s The Savage Playground 2019s Rust and 2022s Automaton ,-1
Suzy George,Suzy George is an American attorney and foreign policy advisor who was selected to serve as the chief of staff to the United States secretary of state in the Biden administration ,-1
The Return of the Son,The Return of the Son French Le Retour du fils is a Moroccan film directed by Ahmed Boulane and released in 2011 It is Boulanes third feature film and was screened at multiple national film festivals ,-1
The Cat on the Dovrefjell,The Cat on the Dovrefjell also known as The Cat on the DovreMountain and The Trolls and the Pussycat is a Norwegian fairy tale collected by Peter Christen Asbjrnsen and Jrgen Moe in Norske Folkeeventyr It is AarneThompson type 1161 The Bear Trainer and His Cat ,-1
Order of Manas,The Order of Manas Kyrgyz   Russian   is the highest order of Kyrgyzstan The order is awarded by the President of Kyrgyzstan Established in 1996 the order recognizes outstanding service to Kyrgyzstan Higher than this award is only the title of Hero of the Kyrgyz Republic with the presentation of the AkShumkar Medal ,-1
Red House School,Red House School is a coeducational independent school in Norton StocktononTees in the northeast of EnglandNursery Reception and Year 1 are located in a purposebuilt unit whilst Years 2 3 and 4 are in a Georgian Vicarage The Preparatory School and Senior School are in a manor houseIn 2010 Red House came 1st in the independent secondary school with no sixth form category in The Sunday Times Parent League Tables 2010 A schools place in the Sunday Times league tables is determined by the percentage of its students who achieve A  C grades at GCSE and A and B grades at A level In 2019 the school achieved a 99 AC grade across all GCSE results ,-1
Nikola Stipanicev,Nikola Stipanicev 9 December 1936  20 April 2022 was a Croatian rower He competed in the mens coxed four event at the 1960 Summer Olympics  References  ,-1
Atef Sedky,Atef Mohamed Naguib Sedky 29 August 1930  25 February 2005 Arabic     IPA tef mmmd nib sedi was the Prime Minister of Egypt from 1986 until 1996 He replaced Aly Mahmoud Lotfy on November 10 1986 ,-1
Danny McShain,Danny McShain October 30 1912  July 14 1992 was an American professional wrestler He competed in the southern United States from the 1930s to the 1960s ,-1
"National Register of Historic Places listings in Travis County, Texas",This is a list of the National Register of Historic Places listings in Travis County Texas This is intended to be a complete list of the properties and districts on the National Register of Historic Places in Travis County Texas United States The locations of National Register properties and districts for which the latitude and longitude coordinates are included below may be seen in a mapThere are 212 properties and districts listed on the National Register in the county including 2 National Historic Landmarks This National Park Service list is complete through NPS recent listings posted September 29 2023 ,-1
Sudene,The Superintendency for the Development of the Northeast Portuguese Superintendncia de Desenvolvimento do Nordeste or Sudene Portuguese pronunciation sudni for short is a Brazilian governmental agency created in 1959 during the government of President Juscelino Kubitschek 19561961 to stimulate economic growth in the northeastern region of Brazil one of the poorest of the country that faces chronic droughts and has a semiarid climate Sudene was created by suggestion of economist Celso Furtado one of the leading intellectuals of Brazil who was the agencys first director ,-1
Interchurch Holiness Convention,The Interchurch Holiness Convention IHC formerly the Interdenominational Holiness Convention is an ecumenical organization of denominations and congregations within the conservative holiness movement Aligned with the conservative holiness movement the majority of these IHC members are Methodist though others have a Quaker Anabaptist or Restorationist background There are a number of denominations aligned with the conservative holiness movement however that are not affiliated with the Interchurch Holiness Convention The IHC was founded in 1952 during the postWorld War II era Thousands of individuals are present at the Interchurch Holiness Conventions annual international meeting that is usually held in Dayton Ohio or in Gatlinburg Tennessee in addition the Interchurch Holiness Convention hosts regional meetings at local churches in different parts of the world throughout the yearThey describe themselves as a friendly connection of organizations and ministries worldwide committed to Spreading Scriptural Holiness across these lands The Interchurch Holiness Conventions General Secretary is James Plank ,-1
Erica Benner,Erica Benner is a political philosopher who has held academic posts at St Antonys College Oxford the London School of Economics and Yale University She was awarded a DPhil by Oxford in 1993 She is the author of the books Really Existing Nationalisms Oxford University Press 1995 Machiavellis Ethics Princeton University Press 2009 Machiavellis Prince A New Reading Oxford University Press 2013 and Be Like the Fox Machiavellis Lifelong Quest for Freedom Penguin Allen Lane 2017 Be Like the Fox was described by Terry Eagleton as lively compulsively readable biography chosen by Julian Baggini as one of his picks for The Guardians best books of 2017 list and shortlisted for the 2018 Elizabeth Longford Prize for Historical Biography ,-1
"Grasston, Minnesota",Grasston is a city in Kanabec County Minnesota United States The population was 158 at the 2010 census ,-1
Requiem (Henze),Hans Werner Henze composed the nine Sacred Concertos that comprise his Requiem over the course of three years from 1991 to 1993 on commissions from the London Sinfonietta Suntory Corporation for the NHK Philharmonic and Westdeutscher Rundfunk Cologne The first movement Introitus Requiem Aeternam was commissioned by the London Sinfonietta as part of a memorial concert for Artistic Director Michael Vyner who died on 20 October 1989 In addition to Henze the London Sinfonietta also commissioned seven other prominent composers Luciano Berio Sir Harrison Birtwistle Sir Peter Maxwell Davies Toru Takemitsu Oliver Knussen and Nigel Osborne to write works in Vyners memory to make up the program which was performed on the 6 May 1990 The Requiem consists of nine Sacred Concertos that with one exception carry the common movement titles of the Requiem Mass albeit out of order Henze also chooses to interpolate the Ave verum corpus in with the other movements though in his autobiography Bohemian Fifths he never expressly states why Even though the movements carry the traditional titles there are no singers and no text within the work In his autobiography Henze states that this choice was made to open up the scope of the Requiem and make it a secular multicultural piece an act of brotherly love that was written in memoriam Michael Vynerwhose name does duty for all the many other people in the world who have died before their time and whose sufferings and passing are mourned in my music471 ,-1
Listed buildings in Ravenfield,Ravenfield is a civil parish in the Metropolitan Borough of Rotherham South Yorkshire England The parish contains nine listed buildings that are recorded in the National Heritage List for England Of these one is listed at Grade II the middle of the three grades and the others are at Grade II the lowest grade The parish contains the village of Ravenfield and the surrounding countryside Four of the listed buildings are houses along the main street and to the north of the village is a church The other listed buildings are further to the north and are associated with Ravenfield Hall which was destroyed by fire in 1963 ,-1
Kalvakuntla,Kalvakuntla is an Indian surname Notable people with the surname include Kalvakuntla Chandrashekhar Rao born 1954 Indian politician K Kavitha born Kalvakuntla Kavitha in 1978 Indian politician K T Rama Rao born Kalvakuntla Taraka Rama Rao in 1976 Indian politician ,-1
Singha Sattal,Singha Sattal also known as Silyan Sattal is a 13thcentury shelter located in the Kathmandu Durbar Square and It was built alongside the iconic Kasthamandap Singha Sattal is owned by Guthi Sansthan a stateowned enterprise In the corners of the shelter there are four bronze lions ,-1
